HGNC ID	Approved Symbol	Approved Name	Status	Synonyms	Entrez Gene ID(supplied by NCBI)	UniProt ID(supplied by UniProt)
HGNC:39300	HMGB3P8	high mobility group box 3 pseudogene 8	Approved		100506039	
HGNC:39301	HMGB3P9	high mobility group box 3 pseudogene 9	Approved		100873879	
HGNC:39302	HMGB3P10	high mobility group box 3 pseudogene 10	Approved		100129320	
HGNC:39303	HMGB3P11	high mobility group box 3 pseudogene 11	Approved		644442	
HGNC:39304	HMGB3P12	high mobility group box 3 pseudogene 12	Approved		100873898	
HGNC:39305	HMGB3P13	high mobility group box 3 pseudogene 13	Approved		100289158	
HGNC:39306	HMGB3P14	high mobility group box 3 pseudogene 14	Approved		100873899	
HGNC:39307	HMGB3P15	high mobility group box 3 pseudogene 15	Approved		644429	
HGNC:39308	HMGB3P16	high mobility group box 3 pseudogene 16	Approved		100873900	
HGNC:39309	HMGB3P17	high mobility group box 3 pseudogene 17	Approved		100419948	
HGNC:39310	HMGB3P18	high mobility group box 3 pseudogene 18	Approved		644502	
HGNC:39311	HMGB3P19	high mobility group box 3 pseudogene 19	Approved		729635	
HGNC:39312	HMGB3P20	high mobility group box 3 pseudogene 20	Approved		442661	
HGNC:39313	HMGB3P21	high mobility group box 3 pseudogene 21	Approved		100873901	
HGNC:39314	HMGB3P22	high mobility group box 3 pseudogene 22	Approved		729595	
HGNC:39315	HMGB3P23	high mobility group box 3 pseudogene 23	Approved		100288563	
HGNC:39316	HMGB3P24	high mobility group box 3 pseudogene 24	Approved		646993	
HGNC:39317	HMGB3P25	high mobility group box 3 pseudogene 25	Approved		100873908	
HGNC:39318	HMGB3P26	high mobility group box 3 pseudogene 26	Approved		100130405	
HGNC:39319	HMGB3P27	high mobility group box 3 pseudogene 27	Approved		441795	
HGNC:39320	HMGB3P28	high mobility group box 3 pseudogene 28	Approved		100131036	
HGNC:39321	HMGB3P29	high mobility group box 3 pseudogene 29	Approved		100420015	
HGNC:39333	HMGB3P30	high mobility group box 3 pseudogene 30	Approved		203510	
HGNC:39334	HMGB3P31	high mobility group box 3 pseudogene 31	Approved		392545	
HGNC:39335	HMGB3P32	high mobility group box 3 pseudogene 32	Approved		100507549	
HGNC:24954	HMGB4	high mobility group box 4	Approved	FLJ40388	127540	Q8WW32
HGNC:5005	HMGCL	3-hydroxymethyl-3-methylglutaryl-CoA lyase	Approved	HL	3155	P35914
HGNC:21359	HMGCLL1	3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1	Approved	DKFZP434G1411, bA418P12.1	54511	Q8TB92
HGNC:5006	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase	Approved		3156	P04035
HGNC:5007	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1	Approved		3157	Q01581
HGNC:5008	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2	Approved		3158	P54868
HGNC:4984	HMGN1	high mobility group nucleosome binding domain 1	Approved	FLJ27265, FLJ31471, MGC104230, MGC117425	3150	P05114
HGNC:20015	HMGN1P1	high mobility group nucleosome binding domain 1 pseudogene 1	Approved		319131	
HGNC:4985	HMGN1P2	high mobility group nucleosome binding domain 1 pseudogene 2	Approved		54048	
HGNC:23343	HMGN1P3	high mobility group nucleosome binding domain 1 pseudogene 3	Approved		100036574	
HGNC:39336	HMGN1P4	high mobility group nucleosome binding domain 1 pseudogene 4	Approved		100036575	
HGNC:39348	HMGN1P5	high mobility group nucleosome binding domain 1 pseudogene 5	Approved		100874429	
HGNC:39349	HMGN1P6	high mobility group nucleosome binding domain 1 pseudogene 6	Approved		100874430	
HGNC:39350	HMGN1P7	high mobility group nucleosome binding domain 1 pseudogene 7	Approved		100129555	
HGNC:39351	HMGN1P8	high mobility group nucleosome binding domain 1 pseudogene 8	Approved		100874431	
HGNC:39352	HMGN1P9	high mobility group nucleosome binding domain 1 pseudogene	Approved		100874410	
HGNC:39353	HMGN1P10	high mobility group nucleosome binding domain 1 pseudogene 10	Approved		100874438	
HGNC:39355	HMGN1P11	high mobility group nucleosome binding domain 1 pseudogene 11	Approved		644534	
HGNC:39356	HMGN1P12	high mobility group nucleosome binding domain 1 pseudogene 12	Approved		106480725	
HGNC:39357	HMGN1P13	high mobility group nucleosome binding domain 1 pseudogene 13	Approved		100874439	
HGNC:39358	HMGN1P14	high mobility group nucleosome binding domain 1 pseudogene 14	Approved		100874440	
HGNC:39359	HMGN1P15	high mobility group nucleosome binding domain 1 pseudogene 15	Approved		100874441	
HGNC:39360	HMGN1P16	high mobility group nucleosome binding domain 1 pseudogene 16	Approved		100874442	
HGNC:39361	HMGN1P17	high mobility group nucleosome binding domain 1 pseudogene 17	Approved		100874443	
HGNC:39362	HMGN1P18	high mobility group nucleosome binding domain 1 pseudogene 18	Approved		100874444	
HGNC:39363	HMGN1P19	high mobility group nucleosome binding domain 1 pseudogene 19	Approved		100874445	
HGNC:39364	HMGN1P20	high mobility group nucleosome binding domain 1 pseudogene 20	Approved		100874459	
HGNC:39365	HMGN1P21	high mobility group nucleosome binding domain 1 pseudogene 21	Approved		728325	
HGNC:39366	HMGN1P22	high mobility group nucleosome binding domain 1 pseudogene 22	Approved		100874460	
HGNC:39367	HMGN1P23	high mobility group nucleosome binding domain 1 pseudogene 23	Approved		100874461	
HGNC:39368	HMGN1P24	high mobility group nucleosome binding domain 1 pseudogene 24	Approved		100874462	
HGNC:39369	HMGN1P25	high mobility group nucleosome binding domain 1 pseudogene 25	Approved		100507124	
HGNC:39370	HMGN1P26	high mobility group nucleosome binding domain 1 pseudogene 26	Approved		100128015	
HGNC:39371	HMGN1P27	high mobility group nucleosome binding domain 1 pseudogene 27	Approved		100874463	
HGNC:39372	HMGN1P28	high mobility group nucleosome binding domain 1 pseudogene 28	Approved		100874464	
HGNC:39373	HMGN1P29	high mobility group nucleosome binding domain 1 pseudogene 29	Approved		100885865	
HGNC:39374	HMGN1P30	high mobility group nucleosome binding domain 1 pseudogene 30	Approved		100132992	
HGNC:39375	HMGN1P31	high mobility group nucleosome binding domain 1 pseudogene 31	Approved		728111	
HGNC:39376	HMGN1P32	high mobility group nucleosome binding domain 1 pseudogene 32	Approved		100874465	
HGNC:39377	HMGN1P33	high mobility group nucleosome binding domain 1 pseudogene 33	Approved		100874446	
HGNC:39378	HMGN1P34	high mobility group nucleosome binding domain 1 pseudogene 34	Approved		100874447	
HGNC:39379	HMGN1P35	high mobility group nucleosome binding domain 1 pseudogene 35	Approved		100874448	
HGNC:39380	HMGN1P36	high mobility group nucleosome binding domain 1 pseudogene 36	Approved		728851	
HGNC:39421	HMGN1P37	high mobility group nucleosome binding domain 1 pseudogene 37	Approved		728776	
HGNC:39422	HMGN1P38	high mobility group nucleosome binding domain 1 pseudogene 38	Approved		643790	
HGNC:4986	HMGN2	high mobility group nucleosomal binding domain 2	Approved		3151	P05204
HGNC:19930	HMGN2P1	high mobility group nucleosomal binding domain 2 pseudogene 1	Approved		319132	
HGNC:20016	HMGN2P2	high mobility group nucleosomal binding domain 2 pseudogene 2	Approved		317726	
HGNC:33566	HMGN2P3	high mobility group nucleosomal binding domain 2 pseudogene 3	Approved		728632	
HGNC:33567	HMGN2P4	high mobility group nucleosomal binding domain 2 pseudogene 4	Approved		643744	
HGNC:33568	HMGN2P5	high mobility group nucleosomal binding domain 2 pseudogene 5	Approved		727795	
HGNC:33574	HMGN2P6	high mobility group nucleosomal binding domain 2 pseudogene 6	Approved		643872	
HGNC:33575	HMGN2P7	high mobility group nucleosomal binding domain 2 pseudogene 7	Approved		644498	
HGNC:31662	HMGN2P8	high mobility group nucleosomal binding domain 2 pseudogene 8	Approved	AC022394.1	100288691	
HGNC:4987	HMGN2P9	high mobility group nucleosomal binding domain 2 pseudogene 9	Approved	dJ388M5.2	23605	
HGNC:4988	HMGN2P10	high mobility group nucleosomal binding domain 2 pseudogene10	Approved	bK216E10	23606	
HGNC:4990	HMGN2P11	high mobility group nucleosomal binding domain 2 pseudogene 11	Approved	28H	3152	
HGNC:4991	HMGN2P12	high mobility group nucleosomal binding domain 2 pseudogene 12	Approved	60H	3153	
HGNC:33557	HMGN2P13	high mobility group nucleosomal binding domain 2 pseudogene 13	Approved		100289682	
HGNC:23341	HMGN2P14	high mobility group nucleosomal binding domain 2 pseudogene14	Approved		100874458	
HGNC:39020	HMGN2P15	high mobility group nucleosomal binding domain 2 pseudogene 15	Approved		100288165	
HGNC:31330	HMGN2P16	high mobility group nucleosomal binding domain 2 pseudogene 16	Approved	Em:AL513423.2	728234	
HGNC:39381	HMGN2P17	high mobility group nucleosomal binding domain 2 pseudogene 17	Approved		100113373	
HGNC:39382	HMGN2P18	high mobility group nucleosomal binding domain 2 pseudogene 18	Approved		648822	
HGNC:39383	HMGN2P19	high mobility group nucleosomal binding domain 2 pseudogene 19	Approved		100874466	
HGNC:39385	HMGN2P20	high mobility group nucleosomal binding domain 2 pseudogene 20	Approved		646049	
HGNC:39386	HMGN2P21	high mobility group nucleosomal binding domain 2 pseudogene 21	Approved		100874467	
HGNC:39387	HMGN2P22	high mobility group nucleosomal binding domain 2 pseudogene 22	Approved		100874468	
HGNC:39388	HMGN2P23	high mobility group nucleosomal binding domain 2 pseudogene 23	Approved		100874469	
HGNC:39389	HMGN2P24	high mobility group nucleosomal binding domain 2 pseudogene 24	Approved		729505	
HGNC:39392	HMGN2P25	high mobility group nucleosomal binding domain 2 pseudogene 25	Approved		729687	
HGNC:39393	HMGN2P26	high mobility group nucleosomal binding domain 2 pseudogene 26	Approved		100874470	
HGNC:39394	HMGN2P27	high mobility group nucleosomal binding domain 2 pseudogene 27	Approved		100874471	
HGNC:39395	HMGN2P28	high mobility group nucleosomal binding domain 2 pseudogene 28	Approved		100128372	
HGNC:39396	HMGN2P29	high mobility group nucleosomal binding domain 2 pseudogene 29	Approved		100874472	
HGNC:39397	HMGN2P30	high mobility group nucleosomal binding domain 2 pseudogene 30	Approved		100131183	
HGNC:39398	HMGN2P31	high mobility group nucleosomal binding domain 2 pseudogene 31	Approved		645930	
HGNC:39403	HMGN2P32	high mobility group nucleosomal binding domain 2 pseudogene 32	Approved		100874473	
HGNC:39404	HMGN2P33	high mobility group nucleosomal binding domain 2 pseudogene 33	Approved		100874474	
HGNC:39405	HMGN2P34	high mobility group nucleosomal binding domain 2 pseudogene 34	Approved		100874478	
HGNC:39406	HMGN2P35	high mobility group nucleosomal binding domain 2 pseudogene 35	Approved		100874479	
HGNC:39407	HMGN2P36	high mobility group nucleosomal binding domain 2 pseudogene 36	Approved		100874480	
HGNC:39408	HMGN2P37	high mobility group nucleosomal binding domain 2 pseudogene 37	Approved		100874481	
HGNC:39409	HMGN2P38	high mobility group nucleosomal binding domain 2 pseudogene 38	Approved		100874482	
HGNC:39410	HMGN2P39	high mobility group nucleosomal binding domain 2 pseudogene 39	Approved		100874483	
HGNC:39411	HMGN2P40	high mobility group nucleosomal binding domain 2 pseudogene 40	Approved		100874484	
HGNC:39412	HMGN2P41	high mobility group nucleosomal binding domain 2 pseudogene 41	Approved		729564	
HGNC:39413	HMGN2P42	high mobility group nucleosomal binding domain 2 pseudogene 42	Approved		100874485	
HGNC:39414	HMGN2P43	high mobility group nucleosomal binding domain 2 pseudogene 43	Approved		100874486	
HGNC:39415	HMGN2P44	high mobility group nucleosomal binding domain 2 pseudogene 44	Approved		100874487	
HGNC:39416	HMGN2P45	high mobility group nucleosomal binding domain 2 pseudogene 45	Approved		100874475	
HGNC:26817	HMGN2P46	high mobility group nucleosomal binding domain 2 pseudogene 46	Approved	FLJ39426, D-PCa-2	283651	Q86SG4
HGNC:44422	HMGN2P47	high mobility group nucleosomal binding domain 2 pseudogene 47	Approved		106480791	
HGNC:12312	HMGN3	high mobility group nucleosomal binding domain 3	Approved		9324	Q15651
HGNC:48984	HMGN3-AS1	HMGN3 antisense RNA 1	Approved		100288198	
HGNC:39206	HMGN3P1	high mobility group nucleosomal binding domain 3 pseudogene 1	Approved		100289191	
HGNC:4989	HMGN4	high mobility group nucleosomal binding domain 4	Approved	NHC	10473	O00479
HGNC:8013	HMGN5	high mobility group nucleosome binding domain 5	Approved		79366	P82970
HGNC:28982	HMGXB3	HMG-box containing 3	Approved	SMF, KIAA0194	22993	Q12766
HGNC:5003	HMGXB4	HMG-box containing 4	Approved	THC211630	10042	Q9UGU5
HGNC:29677	HMHB1	histocompatibility minor HB-1	Approved	HB-1, HB-1Y	57824	O97980
HGNC:5011	HMI~withdrawn	entry withdrawn	Entry Withdrawn			
HGNC:5012	HMMR	hyaluronan mediated motility receptor	Approved	RHAMM, CD168	3161	O75330
HGNC:49149	HMMR-AS1	HMMR antisense RNA 1	Approved		101927813	
HGNC:5013	HMOX1	heme oxygenase 1	Approved	bK286B10, HO-1	3162	P09601
HGNC:5014	HMOX2	heme oxygenase 2	Approved	HO-2	3163	P30519
HGNC:5015	HMR~withdrawn	symbol withdrawn, see NR4A1	Symbol Withdrawn			
HGNC:5016	HMS1~withdrawn	entry withdrawn	Entry Withdrawn			
HGNC:23037	HMSD	histocompatibility minor serpin domain containing	Approved	ACC-6, ACC6	284293	A8MTL9, P0C7T4
HGNC:5017	HMX1	H6 family homeobox 1	Approved	H6, NKX5-3	3166	Q9NP08
HGNC:5018	HMX2	H6 family homeobox 2	Approved	NKX5-2	3167	A2RU54
HGNC:5019	HMX3	H6 family homeobox 3	Approved	NKX5-1	340784	A6NHT5
HGNC:14569	HN1	hematological and neurological expressed 1	Approved	ARM2, HN1A	51155	Q9UK76
HGNC:14137	HN1L	hematological and neurological expressed 1 like	Approved	FLJ13092, L11, KIAA1426	90861	Q9H910
HGNC:5020	HNB1	hereditary neuroblastoma 1	Approved		54111	
HGNC:11621	HNF1A	HNF1 homeobox A	Approved	HNF1, LFB1	6927	P20823
HGNC:26785	HNF1A-AS1	HNF1A antisense RNA 1	Approved	FLJ38690	283460	
HGNC:11630	HNF1B	HNF1 homeobox B	Approved	LFB3, VHNF1, HNF1beta, MODY5	6928	P35680
HGNC:5024	HNF4A	hepatocyte nuclear factor 4 alpha	Approved	NR2A1, HNF4	3172	P41235
HGNC:49505	HNF4A-AS1	HNF4A antisense RNA 1	Approved	uc002xlx	101927219	
HGNC:5026	HNF4G	hepatocyte nuclear factor 4 gamma	Approved	NR2A2	3174	Q14541
HGNC:35417	HNF4GP1	hepatocyte nuclear factor 4 gamma pseudogene 1	Approved		100130462	
HGNC:5027	HNF6A~withdrawn	symbol withdrawn, see ONECUT1	Symbol Withdrawn			
HGNC:5028	HNMT	histamine N-methyltransferase	Approved		3176	P50135
HGNC:5029	HNP36~withdrawn	symbol withdrawn, see SLC29A2	Symbol Withdrawn			
HGNC:5030	HNRNPA0	heterogeneous nuclear ribonucleoprotein A0	Approved	hnRNPA0	10949	Q13151
HGNC:5031	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1	Approved	hnRNPA1, hnRNP-A1, ALS20	3178	P09651
HGNC:27067	HNRNPA1L2	heterogeneous nuclear ribonucleoprotein A1-like 2	Approved	LOC144983	144983	Q32P51
HGNC:13957	HNRNPA1P1	heterogeneous nuclear ribonucleoprotein A1 pseudogene 1	Approved	hnRNPA1-Lp, b34I8.2	645950	
HGNC:13958	HNRNPA1P2	heterogeneous nuclear ribonucleoprotein A1 pseudogene 2	Approved	dJ372B18.1	100131609	
HGNC:16567	HNRNPA1P3	heterogeneous nuclear ribonucleoprotein A1 pseudogene 3	Approved	dJ447F3.1	170524	
HGNC:32234	HNRNPA1P4	heterogeneous nuclear ribonucleoprotein A1 pseudogene 4	Approved		389674	
HGNC:15787	HNRNPA1P5	heterogeneous nuclear ribonucleoprotein A1 pseudogene 5	Approved		100506712	
HGNC:5032	HNRNPA1P6	heterogeneous nuclear ribonucleoprotein A1 pseudogene 6	Approved		729423	
HGNC:31015	HNRNPA1P7	heterogeneous nuclear ribonucleoprotein A1 pseudogene 7	Approved		388275	
HGNC:39126	HNRNPA1P8	heterogeneous nuclear ribonucleoprotein A1 pseudogene 8	Approved		402562	
HGNC:39127	HNRNPA1P9	heterogeneous nuclear ribonucleoprotein A1 pseudogene 9	Approved		100421389	
HGNC:39128	HNRNPA1P10	heterogeneous nuclear ribonucleoprotein A1 pseudogene 10	Approved		664709	
HGNC:39129	HNRNPA1P11	heterogeneous nuclear ribonucleoprotein A1 pseudogene 11	Approved		100128044	
HGNC:39130	HNRNPA1P12	heterogeneous nuclear ribonucleoprotein A1 pseudogene 12	Approved		644037	
HGNC:39131	HNRNPA1P13	heterogeneous nuclear ribonucleoprotein A1 pseudogene 13	Approved		100131130	
HGNC:39132	HNRNPA1P14	heterogeneous nuclear ribonucleoprotein A1 pseudogene 14	Approved		100421351	
HGNC:39133	HNRNPA1P15	heterogeneous nuclear ribonucleoprotein A1 pseudogene 15	Approved		100421353	
HGNC:39134	HNRNPA1P16	heterogeneous nuclear ribonucleoprotein A1 pseudogene 16	Approved		440396	
HGNC:39135	HNRNPA1P17	heterogeneous nuclear ribonucleoprotein A1 pseudogene 17	Approved		100421376	
HGNC:39445	HNRNPA1P18	heterogeneous nuclear ribonucleoprotein A1 pseudogene 18	Approved		100874400	
HGNC:39537	HNRNPA1P19	heterogeneous nuclear ribonucleoprotein A1 pseudogene 19	Approved		100874402	
HGNC:39538	HNRNPA1P20	heterogeneous nuclear ribonucleoprotein A1 pseudogene 20	Approved		344741	
HGNC:39539	HNRNPA1P21	heterogeneous nuclear ribonucleoprotein A1 pseudogene 21	Approved		344697	
HGNC:39540	HNRNPA1P22	heterogeneous nuclear ribonucleoprotein A1 pseudogene 22	Approved		729102	
HGNC:39541	HNRNPA1P23	heterogeneous nuclear ribonucleoprotein A1 pseudogene 23	Approved		100130002	
HGNC:39542	HNRNPA1P24	heterogeneous nuclear ribonucleoprotein A1 pseudogene 24	Approved		100874396	
HGNC:39543	HNRNPA1P25	heterogeneous nuclear ribonucleoprotein A1 pseudogene 25	Approved		100131983	
HGNC:39544	HNRNPA1P26	heterogeneous nuclear ribonucleoprotein A1 pseudogene 26	Approved		664722	
HGNC:39545	HNRNPA1P27	heterogeneous nuclear ribonucleoprotein A1 pseudogene 27	Approved		664721	
HGNC:39546	HNRNPA1P28	heterogeneous nuclear ribonucleoprotein A1 pseudogene 28	Approved		100288038	
HGNC:39547	HNRNPA1P29	heterogeneous nuclear ribonucleoprotein A1 pseudogene 29	Approved		100421424	
HGNC:39548	HNRNPA1P30	heterogeneous nuclear ribonucleoprotein A1 pseudogene 30	Approved		440125	
HGNC:39549	HNRNPA1P31	heterogeneous nuclear ribonucleoprotein A1 pseudogene 31	Approved		100506925	
HGNC:44958	HNRNPA1P32	heterogeneous nuclear ribonucleoprotein A1 pseudogene 32	Approved		645940	
HGNC:44990	HNRNPA1P33	heterogeneous nuclear ribonucleoprotein A1 pseudogene 33	Approved		728643	
HGNC:48763	HNRNPA1P34	heterogeneous nuclear ribonucleoprotein A1 pseudogene 34	Approved		100996501	
HGNC:48764	HNRNPA1P35	heterogeneous nuclear ribonucleoprotein A1 pseudogene 35	Approved		645691	
HGNC:48765	HNRNPA1P36	heterogeneous nuclear ribonucleoprotein A1 pseudogene 36	Approved		100128836	
HGNC:48766	HNRNPA1P37	heterogeneous nuclear ribonucleoprotein A1 pseudogene 37	Approved		100421379	
HGNC:48767	HNRNPA1P38	heterogeneous nuclear ribonucleoprotein A1pseudogene 38	Approved		100421384	
HGNC:48768	HNRNPA1P39	heterogeneous nuclear ribonucleoprotein A1 pseudogene 39	Approved		402112	
HGNC:48769	HNRNPA1P40	heterogeneous nuclear ribonucleoprotein A1 pseudogene 40	Approved		100129920	
HGNC:48770	HNRNPA1P41	heterogeneous nuclear ribonucleoprotein A1 pseudogene 41	Approved		100128701	
HGNC:48771	HNRNPA1P42	heterogeneous nuclear ribonucleoprotein A1 pseudogene 42	Approved		100287266	
HGNC:48772	HNRNPA1P43	heterogeneous nuclear ribonucleoprotein A1 pseudogene 43	Approved		400769	
HGNC:48774	HNRNPA1P44	heterogeneous nuclear ribonucleoprotein A1 pseudogene 44	Approved		100421432	
HGNC:48775	HNRNPA1P45	heterogeneous nuclear ribonucleoprotein A1 pseudogene 45	Approved		100130660	
HGNC:48776	HNRNPA1P46	heterogeneous nuclear ribonucleoprotein A1 pseudogene 46	Approved		100421399	
HGNC:48777	HNRNPA1P47	heterogeneous nuclear ribonucleoprotein A1 pseudogene 47	Approved		100287191	
HGNC:48778	HNRNPA1P48	heterogeneous nuclear ribonucleoprotein A1 pseudogene 48	Approved		642659	
HGNC:48779	HNRNPA1P49	heterogeneous nuclear ribonucleoprotein A1 pseudogene 49	Approved		106481663	
HGNC:48780	HNRNPA1P50	heterogeneous nuclear ribonucleoprotein A1 pseudogene 50	Approved		728170	
HGNC:48781	HNRNPA1P51	heterogeneous nuclear ribonucleoprotein A1 pseudogene 51	Approved		729366	
HGNC:48782	HNRNPA1P52	heterogeneous nuclear ribonucleoprotein A1 pseudogene 52	Approved		645001	
HGNC:48783	HNRNPA1P53	heterogeneous nuclear ribonucleoprotein A1 pseudogene 53	Approved		728732	
HGNC:48784	HNRNPA1P54	heterogeneous nuclear ribonucleoprotein A1 pseudogene 54	Approved		100421398	
HGNC:48785	HNRNPA1P55	heterogeneous nuclear ribonucleoprotein A1 pseudogene 55	Approved		642958	
HGNC:48786	HNRNPA1P56	heterogeneous nuclear ribonucleoprotein A1 pseudogene 56	Approved		391670	
HGNC:48787	HNRNPA1P57	heterogeneous nuclear ribonucleoprotein A1 pseudogene 57	Approved		101060039	
HGNC:48788	HNRNPA1P58	heterogeneous nuclear ribonucleoprotein A1 pseudogene 58	Approved		100289286	
HGNC:48789	HNRNPA1P59	heterogeneous nuclear ribonucleoprotein A1 pseudogene 59	Approved		730246	
HGNC:48790	HNRNPA1P60	heterogeneous nuclear ribonucleoprotein A1 pseudogene 60	Approved		120364	
HGNC:48791	HNRNPA1P61	heterogeneous nuclear ribonucleoprotein A1 pseudogene 61	Approved		100288283	
HGNC:48792	HNRNPA1P62	heterogeneous nuclear ribonucleoprotein A1 pseudogene 62	Approved		106480235	
HGNC:48793	HNRNPA1P63	heterogeneous nuclear ribonucleoprotein A1 pseudogene 63	Approved		645436	
HGNC:48794	HNRNPA1P64	heterogeneous nuclear ribonucleoprotein A1 pseudogene 64	Approved		100129325	
HGNC:48795	HNRNPA1P65	heterogeneous nuclear ribonucleoprotein A1 pseudogene 65	Approved		106481664	
HGNC:48796	HNRNPA1P66	heterogeneous nuclear ribonucleoprotein A1 pseudogene 66	Approved		391378	
HGNC:48797	HNRNPA1P67	heterogeneous nuclear ribonucleoprotein A1 pseudogene 67	Approved		728019	
HGNC:48798	HNRNPA1P68	heterogeneous nuclear ribonucleoprotein A1 pseudogene 68	Approved		100421397	
HGNC:48799	HNRNPA1P69	heterogeneous nuclear ribonucleoprotein A1 pseudogene 69	Approved		105369973	
HGNC:48800	HNRNPA1P70	heterogeneous nuclear ribonucleoprotein A1 pseudogene 70	Approved		341333	
HGNC:48801	HNRNPA1P71	heterogeneous nuclear ribonucleoprotein A1 pseudogene 71	Approved		100421433	
HGNC:48802	HNRNPA1P72	heterogeneous nuclear ribonucleoprotein A1 pseudogene 72	Approved		106480236	
HGNC:48803	HNRNPA1P73	heterogeneous nuclear ribonucleoprotein A1 pseudogene 73	Approved		100129606	
HGNC:48804	HNRNPA1P74	heterogeneous nuclear ribonucleoprotein A1 pseudogene 74	Approved		100421430	
HGNC:48805	HNRNPA1P75	heterogeneous nuclear ribonucleoprotein A1 pseudogene 75	Approved			
HGNC:48806	HNRNPA1P76	heterogeneous nuclear ribonucleoprotein A1 pseudogene 76	Approved		106480675	
HGNC:48807	HNRNPA1P77	heterogeneous nuclear ribonucleoprotein A1 pseudogene 77	Approved		100421378	
HGNC:5033	HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	Approved		3181	P22626
HGNC:24941	HNRNPA3	heterogeneous nuclear ribonucleoprotein A3	Approved		220988	P51991
HGNC:13729	HNRNPA3P1	heterogeneous nuclear ribonucleoprotein A3 pseudogene 1	Approved	FBRNP, D10S102	10151	
HGNC:16605	HNRNPA3P2	heterogeneous nuclear ribonucleoprotein A3 pseudogene 2	Approved	dJ977B1.2	170526	
HGNC:39772	HNRNPA3P3	heterogeneous nuclear ribonucleoprotein A3 pseudogene 3	Approved		643689	
HGNC:39773	HNRNPA3P4	heterogeneous nuclear ribonucleoprotein A3 pseudogene 4	Approved		389395	
HGNC:39774	HNRNPA3P5	heterogeneous nuclear ribonucleoprotein A3 pseudogene 5	Approved		387933	
HGNC:48495	HNRNPA3P6	heterogeneous nuclear ribonucleoprotein A3 pseudogene 6	Approved		653115	
HGNC:48496	HNRNPA3P7	heterogeneous nuclear ribonucleoprotein A3 pseudogene 7	Approved		100421357	
HGNC:48497	HNRNPA3P8	heterogeneous nuclear ribonucleoprotein A3 pseudogene 8	Approved		100129557	
HGNC:48755	HNRNPA3P9	heterogeneous nuclear ribonucleoprotein A3 pseudogene 9	Approved		100421415	
HGNC:48756	HNRNPA3P10	heterogeneous nuclear ribonucleoprotein A3 pseudogene 10	Approved		100421413	
HGNC:48757	HNRNPA3P11	heterogeneous nuclear ribonucleoprotein A3 pseudogene 11	Approved		100421431	
HGNC:48758	HNRNPA3P12	heterogeneous nuclear ribonucleoprotein A3 pseudogene 12	Approved		100421395	
HGNC:48759	HNRNPA3P13	heterogeneous nuclear ribonucleoprotein A3 pseudogene 13	Approved		441026	
HGNC:48760	HNRNPA3P14	heterogeneous nuclear ribonucleoprotein A3 pseudogene 14	Approved		729817	
HGNC:48761	HNRNPA3P15	heterogeneous nuclear ribonucleoprotein A3 pseudogene 15	Approved		106480234	
HGNC:48762	HNRNPA3P16	heterogeneous nuclear ribonucleoprotein A3 pseudogene 16	Approved		100421451	
HGNC:5034	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	Approved	ABBP1, FLJ40338	3182	Q99729
HGNC:48744	HNRNPABP1	heterogeneous nuclear ribonucleoprotein A/B pseudogene 1	Approved		390294	
HGNC:5035	HNRNPC	heterogeneous nuclear ribonucleoprotein C (C1/C2)	Approved	hnRNPC	3183	P07910
HGNC:29295	HNRNPCL1	heterogeneous nuclear ribonucleoprotein C-like 1	Approved		343069	O60812
HGNC:48813	HNRNPCL2	heterogeneous nuclear ribonucleoprotein C-like 2	Approved		440563	B2RXH8
HGNC:51235	HNRNPCL3	heterogeneous nuclear ribonucleoprotein C-like 3	Approved		649330	B7ZW38
HGNC:51333	HNRNPCL4	heterogeneous nuclear ribonucleoprotein C-like 4	Approved		101060301	P0DMR1
HGNC:20017	HNRNPCP1	heterogeneous nuclear ribonucleoprotein C pseudogene 1	Approved		319133	
HGNC:48814	HNRNPCP2	heterogeneous nuclear ribonucleoprotein C pseudogene 2	Approved		653447	
HGNC:48815	HNRNPCP3	heterogeneous nuclear ribonucleoprotein C pseudogene 3	Approved		646956	
HGNC:48816	HNRNPCP4	heterogeneous nuclear ribonucleoprotein C pseudogene 4	Approved		100421828	
HGNC:48817	HNRNPCP6	heterogeneous nuclear ribonucleoprotein C pseudogene 6	Approved		100421794	
HGNC:48818	HNRNPCP7	heterogeneous nuclear ribonucleoprotein C pseudogene 7	Approved		100127907	
HGNC:48819	HNRNPCP8	heterogeneous nuclear ribonucleoprotein C pseudogene 8	Approved		100131842	
HGNC:48820	HNRNPCP9	heterogeneous nuclear ribonucleoprotein C pseudogene 9	Approved		100130196	
HGNC:48821	HNRNPCP10	heterogeneous nuclear ribonucleoprotein C pseudogene 10	Approved		100129229	
HGNC:5036	HNRNPD	heterogeneous nuclear ribonucleoprotein D	Approved		3184	Q14103
HGNC:5037	HNRNPDL	heterogeneous nuclear ribonucleoprotein D like	Approved	JKTBP, laAUF1	9987	O14979
